# Entity  SMACT
      Id       
     GPU 2  0.000
     GPU 2  0.000
     GPU 2  0.000
     GPU 2  0.000
     GPU 2  0.000
     GPU 2  0.000
     GPU 2  0.000
     GPU 2  0.000
     GPU 2  0.005
     GPU 2  0.000
     GPU 2  0.000
     GPU 2  0.000
     GPU 2  0.005
     GPU 2  0.005
     GPU 2  0.000

# Entity  SMACT
      Id       
     GPU 2  0.000
     GPU 2  0.000
     GPU 2  0.000
     GPU 2  0.000
     GPU 2  0.000
     GPU 2  0.000
     GPU 2  0.005
     GPU 2  0.000
     GPU 2  0.000
     GPU 2  0.000
     GPU 2  0.000
     GPU 2  0.000
     GPU 2  0.000
     GPU 2  0.000

# Entity  SMACT
      Id       
     GPU 2  0.000
     GPU 2  0.000
     GPU 2  0.005
     GPU 2  0.000
     GPU 2  0.000
     GPU 2  0.000
     GPU 2  0.000
     GPU 2  0.005
     GPU 2  0.000
     GPU 2  0.000
     GPU 2  0.000
     GPU 2  0.000
     GPU 2  0.005
     GPU 2  0.000

# Entity  SMACT
      Id       
     GPU 2  0.000
     GPU 2  0.000
     GPU 2  0.000
     GPU 2  0.000
     GPU 2  0.000
     GPU 2  0.005
     GPU 2  0.000
     GPU 2  0.000
     GPU 2  0.005
     GPU 2  0.000
     GPU 2  0.000
     GPU 2  0.000
     GPU 2  0.000
     GPU 2  0.000

# Entity  SMACT
      Id       
     GPU 2  0.000
     GPU 2  0.005
     GPU 2  0.005
     GPU 2  0.000
     GPU 2  0.000
