# Entity  SMACT
      Id       
     GPU 2  0.000
     GPU 2  0.000
     GPU 2  0.000
     GPU 2  0.000
     GPU 2  0.010
     GPU 2  0.010
     GPU 2  0.005
     GPU 2  0.010
     GPU 2  0.010
     GPU 2  0.010
     GPU 2  0.015
     GPU 2  0.000
     GPU 2  0.010
     GPU 2  0.005
     GPU 2  0.010

# Entity  SMACT
      Id       
     GPU 2  0.000
     GPU 2  0.010
     GPU 2  0.005
     GPU 2  0.000
     GPU 2  0.010
     GPU 2  0.021
     GPU 2  0.010
     GPU 2  0.005
     GPU 2  0.016
     GPU 2  0.010
     GPU 2  0.010
     GPU 2  0.021
     GPU 2  0.005
     GPU 2  0.005

# Entity  SMACT
      Id       
     GPU 2  0.005
     GPU 2  0.005
     GPU 2  0.026
     GPU 2  0.000
     GPU 2  0.010
     GPU 2  0.021
     GPU 2  0.021
     GPU 2  0.005
     GPU 2  0.005
     GPU 2  0.015
     GPU 2  0.010
     GPU 2  0.010
     GPU 2  0.005
     GPU 2  0.010

# Entity  SMACT
      Id       
     GPU 2  0.005
     GPU 2  0.005
     GPU 2  0.016
     GPU 2  0.005
     GPU 2  0.015
     GPU 2  0.015
     GPU 2  0.016
     GPU 2  0.031
     GPU 2  0.018
     GPU 2  0.013
     GPU 2  0.026
     GPU 2  0.021
     GPU 2  0.005
     GPU 2  0.010

# Entity  SMACT
      Id       
     GPU 2  0.000
     GPU 2  0.005
     GPU 2  0.010
     GPU 2  0.010
     GPU 2  0.016
     GPU 2  0.021
     GPU 2  0.005
     GPU 2  0.005
     GPU 2  0.000
     GPU 2  0.000
