timestamp,name,loc,duration,tag,rank
1736345209763.13,epoch_00_1000,none,5877.10,,0
1736345209763.43,wait_valid_batch,none,0.01,,0
1736345209764.06,batch_00_000_32,none,875.95,finish,0
1736345209764.07,global_batch_00_000_500,none,3298.15,finish,0
1736345210640.12,wait_valid_batch,none,0.01,,0
1736345210640.34,batch_00_001_32,none,165.51,finish,0
1736345210805.92,wait_valid_batch,none,0.01,,0
1736345210806.10,batch_00_002_32,none,162.96,finish,0
1736345210969.11,wait_valid_batch,none,0.00,,0
1736345210969.27,batch_00_003_32,none,162.88,finish,0
1736345211132.20,wait_valid_batch,none,0.00,,0
1736345211132.35,batch_00_004_32,none,162.93,finish,0
1736345211295.33,wait_valid_batch,none,0.00,,0
1736345211295.49,batch_00_005_32,none,162.91,finish,0
1736345211458.45,wait_valid_batch,none,0.00,,0
1736345211458.60,batch_00_006_32,none,162.96,finish,0
1736345211621.61,wait_valid_batch,none,0.00,,0
1736345211621.76,batch_00_007_32,none,162.94,finish,0
1736345211784.76,wait_valid_batch,none,0.00,,0
1736345211784.91,batch_00_008_32,none,162.95,finish,0
1736345211947.91,wait_valid_batch,none,0.00,,0
1736345211948.07,batch_00_009_32,none,162.94,finish,0
1736345212111.06,wait_valid_batch,none,0.00,,0
1736345212111.22,batch_00_010_32,none,162.99,finish,0
1736345212274.25,wait_valid_batch,none,0.01,,0
1736345212274.41,batch_00_011_32,none,162.96,finish,0
1736345212437.43,wait_valid_batch,none,0.00,,0
1736345212437.60,batch_00_012_32,none,163.07,finish,0
1736345212600.72,wait_valid_batch,none,0.00,,0
1736345212600.88,batch_00_013_32,none,162.93,finish,0
1736345212763.85,wait_valid_batch,none,0.00,,0
1736345212764.01,batch_00_014_32,none,162.97,finish,0
1736345212927.04,wait_valid_batch,none,0.01,,0
1736345212927.19,batch_00_015_20,none,135.02,finish,0
1736345213031.94,optimizer_step,none,19.14,,0
1736345213062.27,wait_valid_batch,none,0.00,,0
1736345213062.42,batch_00_016_32,none,159.53,finish,0
1736345213062.43,global_batch_00_016_500,none,2577.76,finish,0
1736345213222.01,wait_valid_batch,none,0.00,,0
1736345213222.16,batch_00_017_32,none,162.92,finish,0
1736345213385.13,wait_valid_batch,none,0.01,,0
1736345213385.27,batch_00_018_32,none,162.83,finish,0
1736345213548.16,wait_valid_batch,none,0.00,,0
1736345213548.30,batch_00_019_32,none,162.89,finish,0
1736345213711.24,wait_valid_batch,none,0.00,,0
1736345213711.39,batch_00_020_32,none,162.88,finish,0
1736345213874.32,wait_valid_batch,none,0.00,,0
1736345213874.47,batch_00_021_32,none,162.93,finish,0
1736345214037.44,wait_valid_batch,none,0.00,,0
1736345214037.59,batch_00_022_32,none,162.93,finish,0
1736345214200.57,wait_valid_batch,none,0.00,,0
1736345214200.72,batch_00_023_32,none,162.92,finish,0
1736345214363.68,wait_valid_batch,none,0.00,,0
1736345214363.83,batch_00_024_32,none,162.88,finish,0
1736345214526.76,wait_valid_batch,none,0.00,,0
1736345214526.90,batch_00_025_32,none,162.92,finish,0
1736345214689.87,wait_valid_batch,none,0.00,,0
1736345214690.02,batch_00_026_32,none,162.87,finish,0
1736345214852.94,wait_valid_batch,none,0.00,,0
1736345214853.10,batch_00_027_32,none,162.95,finish,0
1736345215016.10,wait_valid_batch,none,0.00,,0
1736345215016.25,batch_00_028_32,none,162.86,finish,0
1736345215179.16,wait_valid_batch,none,0.00,,0
1736345215179.31,batch_00_029_32,none,162.89,finish,0
1736345215342.24,wait_valid_batch,none,0.01,,0
1736345215342.39,batch_00_030_32,none,162.86,finish,0
1736345215505.29,wait_valid_batch,none,0.01,,0
1736345215505.46,batch_00_031_20,none,134.71,finish,0
1736345215610.49,optimizer_step,none,18.93,,0
1736345215640.28,epoch_01_1000,none,5156.01,,0
1736345215640.37,wait_valid_batch,none,0.00,,0
1736345215640.53,batch_01_000_32,none,159.47,finish,0
1736345215640.54,global_batch_01_000_500,none,2577.83,finish,0
1736345215800.05,wait_valid_batch,none,0.00,,0
1736345215800.20,batch_01_001_32,none,162.91,finish,0
1736345215963.16,wait_valid_batch,none,0.00,,0
1736345215963.31,batch_01_002_32,none,162.91,finish,0
1736345216126.26,wait_valid_batch,none,0.00,,0
1736345216126.41,batch_01_003_32,none,162.84,finish,0
1736345216289.30,wait_valid_batch,none,0.00,,0
1736345216289.44,batch_01_004_32,none,162.93,finish,0
1736345216452.42,wait_valid_batch,none,0.00,,0
1736345216452.56,batch_01_005_32,none,162.87,finish,0
1736345216615.49,wait_valid_batch,none,0.00,,0
1736345216615.64,batch_01_006_32,none,162.94,finish,0
1736345216778.62,wait_valid_batch,none,0.00,,0
1736345216778.77,batch_01_007_32,none,162.85,finish,0
1736345216941.67,wait_valid_batch,none,0.00,,0
1736345216941.82,batch_01_008_32,none,162.99,finish,0
1736345217104.86,wait_valid_batch,none,0.00,,0
1736345217105.01,batch_01_009_32,none,162.90,finish,0
1736345217267.97,wait_valid_batch,none,0.00,,0
1736345217268.12,batch_01_010_32,none,162.99,finish,0
1736345217431.16,wait_valid_batch,none,0.00,,0
1736345217431.30,batch_01_011_32,none,162.88,finish,0
1736345217594.23,wait_valid_batch,none,0.00,,0
1736345217594.38,batch_01_012_32,none,162.92,finish,0
1736345217757.34,wait_valid_batch,none,0.00,,0
1736345217757.49,batch_01_013_32,none,162.90,finish,0
